frame,variant,avg_atr_slope,avg_impulse_strength_ratio,avg_loss_rub,avg_range_atr_ratio,avg_retest_bars,avg_signal_score,avg_win_rub,expectancy_rub,interesting_candidate,max_drawdown_rub,n_limit_entries,n_market_entries,n_trades,pct_fast_retest_le2_bars,pct_market_entries,pct_trades_atr_slope_ge_min_expansion,pct_trades_range_atr_ge_min,pnl_without_top_1_trade,pnl_without_top_2_trades,profit_factor,sharpe_like_pnl,total_pnl_net_rub,trades_by_setup_tag_json,winrate
history_15m_6m.csv,baseline_no_score_filter,1.136484915257631,0.9196252408170108,-118.3654672249298,4.413043875030033,0.18181818181818182,0.6215141614535745,65.09276981915134,-18.297337928158278,False,392.4148385282737,0,11,11,100.0,100.0,45.45454545454545,100.0,-459.35242170469934,-503.33962883690475,0.6599164909689978,-0.14298683903138434,-201.27071720974106,"{""pullback"": 9, ""retest_fast"": 2}",0.5454545454545454
history_15m_6m.csv,old_score_legacy_combo_min_0.6,1.1670770352613544,0.9021897304962022,-95.7676719862339,4.590576170810664,0.0,0.6687244935456914,16.563576904971637,-39.60204754063113,False,255.6076938951081,0,6,6,100.0,100.0,50.0,100.0,-255.6076938951081,-272.90432386468206,0.1729558269658321,-0.5270256953501599,-237.6122852437868,"{""pullback"": 6}",0.5
history_15m_6m.csv,split_factors_default_min_0.6,1.1670770352613544,0.9021897304962022,-95.7676719862339,4.590576170810664,0.0,0.6687244935456914,16.563576904971637,-39.60204754063113,False,255.6076938951081,0,6,6,100.0,100.0,50.0,100.0,-255.6076938951081,-272.90432386468206,0.1729558269658321,-0.5270256953501599,-237.6122852437868,"{""pullback"": 6}",0.5
history_15m_6m.csv,factor_weights_from_factor_edge_summary.json_min_0.6,1.3517347848032069,0.9618223684276789,-47.208766280575055,4.138299097819774,0.5,0.618964225178633,80.97443925250316,48.92863786923361,False,47.20876628057505,0,4,4,100.0,100.0,100.0,100.0,-23.655713385374384,-36.23631128173497,5.1457247646284054,0.41825663357300535,195.71455147693445,"{""pullback"": 2, ""retest_fast"": 2}",0.75
history_15m_6m.csv,split_top3_per_day_min0.5,1.136484915257631,0.9196252408170108,-75.27442127569175,4.413043875030033,0.18181818181818182,0.6215141614535745,37.7888358645997,-13.603553744623689,False,247.3362826735638,0,11,11,100.0,100.0,45.45454545454545,100.0,-293.65967398027465,-318.21164348414754,0.6024171593619857,-0.17415524957345813,-149.63909119086057,"{""pullback"": 9, ""retest_fast"": 2}",0.5454545454545454
history_1h_12m.csv,baseline_no_score_filter,1.2371300789806097,0.5604295449134584,-157.28441953064137,4.962437694220453,0.75,0.6626582405957817,88.55248953044824,-34.36596500009657,False,443.12810437027514,1,7,8,100.0,87.5,62.5,100.0,-461.17997348269387,-547.376280928487,0.5630086552418937,-0.23470102136786913,-274.9277200007726,"{""pullback"": 4, ""retest_fast"": 4}",0.5
history_1h_12m.csv,old_score_legacy_combo_min_0.6,1.1853084797297282,0.5209035710968701,-114.93218777070483,4.856719892016477,0.6,0.7246857313910141,100.26338389205861,-28.853959105599454,False,292.5407812615488,1,4,5,100.0,80.0,60.0,100.0,-292.5407812615488,-344.7965633121145,0.5815799492252993,-0.22950762742447137,-144.26979552799727,"{""pullback"": 3, ""retest_fast"": 2}",0.4
history_1h_12m.csv,split_factors_default_min_0.6,1.1853084797297282,0.5209035710968701,-114.93218777070483,4.856719892016477,0.6,0.7246857313910141,100.26338389205861,-28.853959105599454,False,292.5407812615488,1,4,5,100.0,80.0,60.0,100.0,-292.5407812615488,-344.7965633121145,0.5815799492252993,-0.22950762742447137,-144.26979552799727,"{""pullback"": 3, ""retest_fast"": 2}",0.4
history_1h_12m.csv,factor_weights_from_factor_edge_summary.json_min_0.6,1.3935826073473563,0.3420814350661289,-93.18790768708827,5.066644884816308,1.2,0.6829089553387631,74.75149081142295,41.163611111720705,False,93.18790768708827,1,4,5,100.0,80.0,100.0,100.0,57.68450384099708,-15.582630036391052,3.208634796799079,0.46272825653601446,205.81805555860353,"{""pullback"": 1, ""retest_fast"": 4}",0.8
history_1h_12m.csv,split_top3_per_day_min0.5,1.2371300789806097,0.5604295449134584,-103.42201125338093,4.962437694220453,0.75,0.6626582405957817,64.81378319183182,-19.304114030774553,False,292.5407812615488,1,7,8,100.0,87.5,62.5,100.0,-302.7038979797479,-354.9596800303136,0.6266923492044641,-0.19093034428385866,-154.43291224619642,"{""pullback"": 4, ""retest_fast"": 4}",0.5
