instrument,timestamp,session,setup_type,side,pnl,return_risk_adj,win,risk_rub,entry_qty,signal_score,raw_impulse_strength,raw_atr_expansion,raw_retest_speed,raw_htf_score,raw_ema_distance,raw_candle_structure,entry_bar,alpha_liq_sweep_bear,alpha_liq_sweep_bull,alpha_atr_ratio_short_long,alpha_vol_roll_pctile,alpha_compression,alpha_expand_after_compress,alpha_hour_norm,alpha_session_bucket,alpha_wick_upper_ratio,alpha_wick_lower_ratio,alpha_body_ratio,alpha_range_position
history_5m_6m,2026-03-20 12:50:00+00:00,day,pullback,LONG,-53.526168136368604,-2.172729226869144,0,24.635452717455575,1.0080000000000002,0.5446867184687111,0.896551724137931,0.9238743536678837,0.0,1.0,5.173989382126238,0.8076923076923077,6538,0.0,1.0,0.229669091231493,0.38,0.21999999999999997,0.0,0.5347222222222222,0.6666666666666666,0.15384615384615385,0.038461538461538464,0.8076923076923077,0.8405797101449275
history_5m_6m,2026-03-23 06:50:00+00:00,night,pullback,LONG,-58.54129531339417,-1.9681349741039544,0,29.74455313464802,1.0080000000000002,0.5478940758577515,0.34328358208955223,0.9546513225613559,0.0,1.0,2.3518485807185505,1.0,6585,0.0,0.0,0.2393958457956779,0.8,0.35,0.0,0.2847222222222222,0.0,0.0,0.0,1.0,0.593939393939394
history_5m_6m,2026-03-23 12:15:00+00:00,day,pullback,LONG,-92.2435249703007,-1.444674716891737,0,63.85072285944446,1.0080000000000002,0.7251865217515239,0.675,0.9648702789195289,0.0,1.0,-1.8042106319465319,0.8333333333333334,6650,0.0,0.0,0.3237188336074558,0.62,0.30000000000000004,0.0,0.5104166666666666,0.6666666666666666,0.16666666666666666,0.0,0.8333333333333334,0.9693877551020408
history_5m_6m,2026-03-24 09:20:00+00:00,morning,pullback,LONG,10.632260997480607,0.32756716163047317,1,32.458262740862914,1.0080000000000002,0.8555544554455446,2.72972972972973,1.2502431501602407,0.0,1.0,-3.250101756048214,0.49504950495049505,6794,0.0,0.0,0.26077799500937193,0.64,0.06000000000000005,0.0,0.3888888888888889,0.3333333333333333,0.48514851485148514,0.019801980198019802,0.49504950495049505,0.6287878787878788
history_5m_6m,2026-03-24 10:00:00+00:00,morning,pullback,LONG,-62.19029476348908,-1.8392478532214163,0,33.81289512153768,1.0080000000000002,0.708442614263033,0.21782178217821782,1.0227437339750374,0.0,1.0,-3.705174048177594,0.7727272727272727,6802,0.0,1.0,0.26690560431816257,0.56,0.42000000000000004,0.0,0.4166666666666667,0.6666666666666666,0.09090909090909091,0.13636363636363635,0.7727272727272727,0.5774647887323944
history_5m_6m,2026-03-24 11:00:00+00:00,morning,pullback,LONG,-62.100853829905574,-1.840683068494482,0,33.73793940566784,1.0080000000000002,0.6638305997132771,0.29333333333333333,0.9211874584292473,0.0,1.0,-4.048514412964283,0.5454545454545454,6814,0.0,0.0,0.24805573077052326,0.22,0.47,0.0,0.4583333333333333,0.6666666666666666,0.3181818181818182,0.13636363636363635,0.5454545454545454,0.44285714285714284
history_5m_6m,2026-03-25 15:45:00+00:00,day,pullback,LONG,-51.247201116991164,-2.242914985148265,0,22.848481309514963,1.0080000000000002,0.7372137378005491,0.896551724137931,0.9436862712746147,0.0,1.0,-4.527110969852042,0.8846153846153846,7048,0.0,0.0,0.23170827905525554,0.42,0.21999999999999997,1.0,0.65625,0.6666666666666666,0.11538461538461539,0.0,0.8846153846153846,0.5285714285714286
history_5m_6m,2026-03-26 09:05:00+00:00,morning,pullback,LONG,-67.20489491034141,-1.728721705462761,0,38.87548510438315,1.0080000000000002,0.7050178650595829,0.27450980392156865,0.9830152290183308,0.0,1.0,-3.397433970336154,0.8214285714285714,7143,0.0,0.0,0.3862417314933778,0.9,0.22999999999999998,0.0,0.37847222222222227,0.3333333333333333,0.0,0.17857142857142858,0.8214285714285714,0.653179190751445
history_5m_6m,2026-03-27 14:05:00+00:00,day,pullback,LONG,-73.28587951898425,-1.6141913244141854,0,45.40098711382977,1.0080000000000002,0.7724959082524128,0.6483516483516484,1.2034392368319464,0.0,1.0,-7.481483684779767,0.6271186440677966,7381,1.0,0.0,0.25969524947837447,0.72,0.020000000000000018,0.0,0.5868055555555556,0.6666666666666666,0.3728813559322034,0.0,0.6271186440677966,0.7837837837837838
history_5m_6m,2026-03-28 15:00:00+00:00,day,pullback,LONG,-2.62475024842,-0.31641870235421127,0,8.295180496258256,1.0080000000000002,0.8590000000000001,30.0,2.1225396767737412,0.0,1.0,-37.46915502699638,0.5333333333333333,7540,0.0,1.0,0.21711173144276324,1.0,0.0,1.0,0.625,0.6666666666666666,0.4666666666666667,0.0,0.5333333333333333,0.5692307692307692
history_5m_6m,2026-03-30 07:10:00+00:00,morning,retest_fast,SHORT,-82.16268551574298,-2.7600659015340074,0,29.768378164477184,1.12,0.550266355140187,0.2523364485981308,1.86498078670919,1.0,1.0,12.390789318971411,0.2962962962962963,7655,0.0,0.0,0.48912936458811823,1.0,0.07999999999999996,0.0,0.2986111111111111,0.3333333333333333,0.7037037037037037,0.0,0.2962962962962963,0.13013698630136986
history_5m_6m,2026-03-30 09:05:00+00:00,morning,pullback,LONG,36.72357951194804,0.758505827637002,1,48.41568538287201,1.0080000000000002,0.8568181818181819,2.7049180327868854,1.306696189878917,0.0,1.0,-5.471248753388131,0.509090909090909,7678,0.0,0.0,0.5819936368359967,1.0,0.0,0.0,0.37847222222222227,0.3333333333333333,0.4909090909090909,0.0,0.509090909090909,0.7107142857142857
history_5m_6m,2026-03-30 11:25:00+00:00,morning,pullback,LONG,-68.35178192616601,-1.6995978329069514,0,40.2164445039676,1.0080000000000002,0.6440200006865651,0.47368421052631576,0.9272060984754514,0.0,1.0,-4.465208240638374,0.18518518518518517,7706,0.0,0.0,0.28496949647180164,0.02,0.5900000000000001,0.0,0.4756944444444444,0.6666666666666666,0.2222222222222222,0.5925925925925926,0.18518518518518517,0.43902439024390244
history_5m_6m,2026-03-31 08:20:00+00:00,morning,pullback,LONG,-53.46168242567863,-2.1031666152803403,0,25.419613471067052,1.0080000000000002,0.7803739483777301,0.7419354838709677,1.182551232063447,0.0,1.0,-8.399844066052946,0.717391304347826,7846,0.0,0.0,0.21491300093201837,1.0,0.06999999999999995,0.0,0.34722222222222227,0.3333333333333333,0.2826086956521739,0.0,0.717391304347826,0.6444444444444445
history_5m_6m,2026-04-01 06:00:00+00:00,night,pullback,LONG,-8.74360597062822,-0.3908248691900511,0,22.372184218339395,1.0080000000000002,0.8547613529962548,1.8541666666666667,2.0622561424595904,0.0,1.0,-6.548536357095902,0.5842696629213483,7993,0.0,0.0,0.2538922176029521,1.0,0.0,0.0,0.25,0.0,0.30337078651685395,0.11235955056179775,0.5842696629213483,0.7352941176470589
history_5m_6m,2026-04-02 09:15:00+00:00,morning,pullback,LONG,-57.764897152713445,-1.958970566049931,0,29.487373702194315,1.0080000000000002,0.7464376806257129,0.4307692307692308,1.0505722197723335,0.0,1.0,-2.3845068481559983,0.9642857142857143,8211,0.0,0.0,0.300376559245761,0.96,0.27,1.0,0.3854166666666667,0.3333333333333333,0.0,0.03571428571428571,0.9642857142857143,0.7934782608695652
history_5m_6m,2026-04-03 07:20:00+00:00,morning,pullback,LONG,-51.74884372931152,-2.2106946443246973,0,23.40840869278863,1.0080000000000002,0.7381735372856095,1.0833333333333333,0.9560800398727195,0.0,1.0,-1.4348040541379983,0.7307692307692307,8361,0.0,0.0,0.2981473275348145,0.78,0.07999999999999996,0.0,0.3055555555555555,0.3333333333333333,0.038461538461538464,0.23076923076923078,0.7307692307692307,0.6714285714285714
