factor,bin,n,avg_pnl,median_pnl,winrate,profit_factor,pnl_wo_top1
alpha_v2_dist_to_don_hi_atr,0,3,7.529273134303569,-9.195085257999963,0.3333333333333333,1.985429552814212,-22.921800283342325
alpha_v2_dist_to_don_hi_atr,1,3,-8.274948672821978,-8.630452279921611,0.0,0.0,-19.566434437593145
alpha_v2_dist_to_don_hi_atr,2,3,-2.430720578447239,-1.583414440467699,0.3333333333333333,0.20819015225995824,-9.209486035258049
alpha_v2_dist_to_don_hi_atr,3,3,-4.207108300337264,-9.254508149328728,0.3333333333333333,0.3445250665917704,-19.25523655860572
alpha_v2_dist_to_don_hi_atr,4,3,-5.548741551270755,-7.7016268413639075,0.0,0.0,-16.183685915535197
alpha_v2_dist_to_don_lo_atr,0,3,-9.27218730059687,-9.254508149328728,0.0,0.0,-20.190490307000264
alpha_v2_dist_to_don_lo_atr,1,3,-3.990513186959356,-5.258411580872789,0.3333333333333333,0.1380475983588961,-13.8888638607944
alpha_v2_dist_to_don_lo_atr,2,3,-6.68873397463866,-8.48205907417129,0.0,0.0,-18.48278748344828
alpha_v2_dist_to_don_lo_atr,3,3,-3.4209334805899814,-7.7016268413639075,0.3333333333333333,0.3926155348201549,-16.89671209936387
alpha_v2_dist_to_don_lo_atr,4,3,10.4401219742112,-0.46253873827706826,0.3333333333333333,3.2073300290771827,-14.18925376361943
alpha_v2_false_breakout_dn,0,12,-1.9851066197702012,-8.091842957767598,0.25,0.6941367951396589,-69.33089912349546
alpha_v2_false_breakout_dn,1,3,-4.991819489492862,-5.258411580872789,0.0,0.0,-14.512919730201517
alpha_v2_false_breakout_up,0,15,-2.5864491937147336,-7.7016268413639075,0.2,0.5821910042817768,-84.30635759197403
alpha_v2_hour_cos,0,3,-11.305735110780875,-10.935982157671535,0.0,0.0,-24.662697183013897
alpha_v2_hour_cos,1,4,-2.5199861829220858,-3.3565639900026394,0.5,0.4589744525674547,-16.71385638928227
alpha_v2_hour_cos,2,2,-4.472298906224179,-4.472298906224179,0.0,0.0,-8.48205907417129
alpha_v2_hour_cos,3,3,10.875045503529966,-5.258411580872789,0.3333333333333333,3.5321261292198276,-12.884483175663135
alpha_v2_hour_cos,4,3,-6.160042179943857,-7.7016268413639075,0.0,0.0,-16.89671209936387
alpha_v2_hour_sin,0,3,-6.341530830246318,-7.62607159479035,0.0,0.0,-18.562053752461885
alpha_v2_hour_sin,1,3,-7.021299624918252,-9.254508149328728,0.3333333333333333,0.08343003700645162,-22.981223174671086
alpha_v2_hour_sin,2,3,-3.999089677201558,-8.630452279921611,0.3333333333333333,0.3560650163969441,-18.6311806891986
alpha_v2_hour_sin,3,3,10.589716343736319,-5.258411580872789,0.3333333333333333,3.3120859415064223,-13.740470655044078
alpha_v2_hour_sin,4,3,-6.160042179943857,-7.7016268413639075,0.0,0.0,-16.89671209936387
alpha_v2_price_zscore,0,3,-10.736500836263547,-10.000728409276991,0.0,0.0,-23.727443434619353
alpha_v2_price_zscore,1,3,-4.310840926666406,-8.630452279921611,0.3333333333333333,0.33904550564655467,-19.566434437593145
alpha_v2_price_zscore,2,3,-4.987751814734248,-7.62607159479035,0.3333333333333333,0.11358166182558377,-16.88057974411908
alpha_v2_price_zscore,3,3,-7.385041226745553,-7.7016268413639075,0.0,0.0,-16.89671209936387
alpha_v2_price_zscore,4,3,14.487888835836088,-0.46253873827706826,0.3333333333333333,22.243724909762637,-2.0459531787447673
alpha_v2_ret_3bar_atr,0,3,-8.985621133323209,-9.254508149328728,0.0,0.0,-19.25523655860572
alpha_v2_ret_3bar_atr,1,3,-11.048252085728395,-10.935982157671535,0.0,0.0,-24.662697183013897
alpha_v2_ret_3bar_atr,2,3,-4.779733191598543,-7.62607159479035,0.3333333333333333,0.11794183767040446,-16.25652387471196
alpha_v2_ret_3bar_atr,3,3,-2.606528393759608,-5.258411580872789,0.3333333333333333,0.45898316037624814,-14.453496838872752
alpha_v2_ret_3bar_atr,4,3,14.487888835836088,-0.46253873827706826,0.3333333333333333,22.243724909762637,-2.0459531787447673
alpha_v2_session_fine,0,10,0.32090777596890396,-6.480019211118348,0.3,1.063106500760007,-42.300541926563994
alpha_v2_session_fine,1,2,-11.490611587335545,-11.490611587335545,0.0,0.0,-13.726715025342362
alpha_v2_session_fine,2,3,-6.341530830246318,-7.62607159479035,0.0,0.0,-18.562053752461885
alpha_v2_vol_regime,0,15,-2.5864491937147336,-7.7016268413639075,0.2,0.5821910042817768,-84.30635759197403
alpha_v3_body_signed_ratio,0,3,1.0976081255458239,1.9173242999163325,0.6666666666666666,1.6262013397001782,-3.3410872809564554
alpha_v3_body_signed_ratio,1,3,-4.327311778805434,-1.583414440467699,0.0,0.0,-12.519396598139235
alpha_v3_body_signed_ratio,2,3,-8.479398021621309,-8.48205907417129,0.0,0.0,-17.736567223500018
alpha_v3_body_signed_ratio,3,3,-10.451171676469901,-10.000728409276991,0.0,0.0,-23.727443434619353
alpha_v3_body_signed_ratio,4,3,9.228027382777151,-8.630452279921611,0.3333333333333333,2.5530573532179366,-17.825537537921576
alpha_v3_dist_don10_hi_atr,0,3,8.84149769334596,-5.258411580872789,0.3333333333333333,2.397119631077655,-18.98512660621515
alpha_v3_dist_don10_hi_atr,1,3,-9.277564752345135,-9.195085257999963,0.0,0.0,-20.1310674156715
alpha_v3_dist_don10_hi_atr,2,3,-9.037746587789963,-8.630452279921611,0.0,0.0,-18.631180689198604
alpha_v3_dist_don10_hi_atr,3,3,-2.430720578447239,-1.583414440467699,0.3333333333333333,0.20819015225995824,-9.209486035258049
alpha_v3_dist_don10_hi_atr,4,3,-1.0277117433372895,-0.46253873827706826,0.3333333333333333,0.6827086186087624,-9.717046887605797
alpha_v3_dist_don10_lo_atr,0,3,-9.68480448716554,-7.7016268413639075,0.0,0.0,-21.42834186670627
alpha_v3_dist_don10_lo_atr,1,3,-9.60698086230729,-9.254508149328728,0.0,0.0,-20.190490307000267
alpha_v3_dist_don10_lo_atr,2,3,-4.447271896744483,-5.258411580872789,0.3333333333333333,0.1256508755509171,-15.25913999014978
alpha_v3_dist_don10_lo_atr,3,3,-6.420186257546317,-8.48205907417129,0.0,0.0,-17.677144332171252
alpha_v3_dist_don10_lo_atr,4,3,17.226997535189962,6.633911657593928,0.6666666666666666,112.73332810583345,6.171372919316859
alpha_v3_dist_local_high_atr,0,6,5.154582328091974,-1.0229765893723837,0.3333333333333333,2.8744560537186743,-14.582125717701189
